zh_Food_name,GHG,en_Food_name,Energy/kcal,Protein /g,Fat/g,Carbohydrates /g,Sodium/mg,price/rmb,url,,,,,,,,,,
李,0.46,plum,45.5,0.5,0.2,8,0,6.5,https://cdn.pixabay.com/photo/2018/07/14/12/38/japan-3537532_1280.jpg,,,,,,,,,,
蚕豆,0.49,broad beans,88.1,10,0.9,22,32,13.5,https://cdn.pixabay.com/photo/2020/08/11/10/23/broad-beans-5479434_1280.jpg,,,,,,,,,,
樱桃,1.14,cherry,49.7,1.6,0.5,19,5,12,https://cdn.pixabay.com/photo/2016/06/18/22/36/cherries-1465801_1280.jpg,,,,,,,,,,
西瓜,0.07,watermelon,30.4,1.7,0.4,21,3,5.2,https://cdn.pixabay.com/photo/2015/06/19/16/48/watermelon-815072_1280.jpg,,,,,,,,,,
椰枣,0.77,date,280,2,0.9,75,0,20,https://cdn.pixabay.com/photo/2021/09/19/19/18/dates-6638825_1280.jpg,,,,,,,,,,
甜菜,0.18,sugerbeet,43,1.6,0.2,10,0,5,https://cdn.pixabay.com/photo/2018/05/29/23/05/beetroot-3440339_1280.jpg,,,,,,,,,,
瓜子,1.02,melonseed,200,6,1,4,0,10,https://cdn.pixabay.com/photo/2015/01/11/12/35/melon-seeds-596172_1280.jpg,,,,,,,,,,
阿月浑子,2.52,pistachios,691,25,56,34,1,86,https://cdn.pixabay.com/photo/2020/05/13/12/11/pistachio-5167236_1280.jpg,,,,,,,,,,
大茴香,0.92,anise,340.8,17.8,15.8,52.8,16.3,70,https://cdn.pixabay.com/photo/2015/11/18/17/23/star-anise-1049585_1280.jpg,,,,,,,,,,
牛油果,1.28,avocado,670,2,14.66,8.53,0,8.15,https://cdn.pixabay.com/photo/2024/01/09/22/11/avocado-8498520_1280.jpg,,,,,,,,,,
榛子,2.56,hazelnut,628,14.8,60.7,17,0,62,https://cdn.pixabay.com/photo/2018/10/16/18/32/hazelnuts-3752184_1280.jpg,,,,,,,,,,
腰果,2.65,cashew,553,18.22,43.85,30.19,0,68,https://cdn.pixabay.com/photo/2016/07/28/20/32/cashew-cores-1549580_1280.jpg,,,,,,,,,,
芋头,0.19,taro,594,0.52,0.11,34.6,0,7.75,https://cdn.pixabay.com/photo/2016/09/22/08/52/albinism-1686669_1280.jpg,,,,,,,,,,
鹰嘴豆,0.38,chickpeas,368,19.2,6.4,64,24,12,https://cdn.pixabay.com/photo/2016/12/04/23/38/chickpeas-1882839_1280.jpg,,,,,,,,,,
葵花籽,1.17,sunflower seed,584.3,20.7,51.4,20,9.29,14.43,https://cdn.pixabay.com/photo/2016/07/14/08/01/sunflower-1516292_1280.jpg,,,,,,,,,,
杏仁,3.78,almond,575,21.7,48.9,31.5,1.1,63.5,https://cdn.pixabay.com/photo/2016/10/25/12/56/almonds-1768792_1280.jpg,,,,,,,,,,
哈密瓜,0.14,cantalope,33.7,0.83,0.18,8.15,15.6,8.57,https://cdn.pixabay.com/photo/2016/03/17/02/44/cantaloupe-1262199_1280.jpg,,,,,,,,,,
柠檬,0.7,lemon,29.3,1.03,0.34,8.62,1.72,7.8,https://cdn.pixabay.com/photo/2017/02/05/12/31/lemons-2039830_1280.jpg,,,,,,,,,,
芦笋,0.4,asparagus,18.75,2.5,0,3.75,0,24,https://cdn.pixabay.com/photo/2017/03/27/11/33/asparagus-2178164_1280.jpg,,,,,,,,,,
芝麻,0.99,sesame,577.8,17.8,50,23.3,11.1,20.5,https://cdn.pixabay.com/photo/2018/04/10/09/57/cooking-3306905_1280.jpg,,,,,,,,,,
柚子,0.64,grapefruit,42.28,0.73,0.16,10.6,0,3.6,https://cdn.pixabay.com/photo/2017/04/09/07/25/honey-pomelo-2215031_1280.jpg,,,,,,,,,,
椰子,0.43,coconut,283,2.66,26.8,12.2,0,16,https://cdn.pixabay.com/photo/2018/01/05/04/44/food-3062139_1280.jpg,,,,,,,,,,
柿子,0.78,persimmon,128,0.8,0.4,32,0,5.6,https://cdn.pixabay.com/photo/2016/06/14/10/16/persimmons-1456186_1280.jpg,,,,,,,,,,
荞麦,0.71,buckwheat,343,13.25,3.4,71.5,0,5,https://cdn.pixabay.com/photo/2017/04/04/00/43/japanese-food-2199968_1280.jpg,,,,,,,,,,
木薯,0.19,cassava,159.2,1.36,0.29,37.86,14.08,4,https://cdn.pixabay.com/photo/2014/03/11/08/40/cassava-285040_1280.jpg,,,,,,,,,,
甜玉米,0.57,sweet corns,85.5,3.22,1.22,18.89,15.6,6.2,https://cdn.pixabay.com/photo/2021/10/31/14/53/sweetcorn-6757707_1280.jpg,,,,,,,,,,
干蘑菇,7.3,dried mushroom,300,10,1,76,13,58,https://cdn.pixabay.com/photo/2020/12/09/15/43/shiitake-5817764_1280.jpg,,,,,,,,,,
辣椒面,7.72,paprika powder,279.4,14.7,13.24,54.4,73.53,60,https://cdn.pixabay.com/photo/2017/04/03/16/13/chili-powder-2198805_1280.jpg,,,,,,,,,,
花生酱,0.86,peanut butter,587.5,25,50,18.75,15.63,17.5,https://cdn.pixabay.com/photo/2018/03/11/09/16/peanut-butter-3216263_1280.jpg,,,,,,,,,,
豆粉,5.49,soybean powder,438,38.4,20.4,32.4,13.2,11,https://cdn.pixabay.com/photo/2014/02/10/11/25/coffee-powder-263354_1280.jpg,,,,,,,,,,
藜麦,4.63,quinoa,120,4.32,1.92,21.1,0,25.3,https://cdn.pixabay.com/photo/2021/06/16/14/31/quinoa-6341423_1280.jpg,,,,,,,,,,
米粉,4.93,rice noodles,109,0.91,0.23,25,18.75,6.1,https://cdn.pixabay.com/photo/2015/07/22/09/50/rice-noodles-855077_1280.jpg,,,,,,,,,,
蔓越莓,0.79,cranberry,50,0.5,0.14,12.2,2.2,41,https://cdn.pixabay.com/photo/2015/09/25/15/24/cranberries-957583_1280.jpg,,,,,,,,,,
葡萄干,3.58,raisins,300,3.02,0.46,79.1,11.6,50,https://cdn.pixabay.com/photo/2017/04/04/17/39/food-2202402_1280.jpg,,,,,,,,,,
猪肝,3.96,pork liver,164.7,25.9,4.35,3.76,49.4,54.6,https://cdn.pixabay.com/photo/2018/10/14/18/29/meatloaf-3747129_1280.jpg,,,,,,,,,,
双孢蘑菇,0.26,portabello mushroom,22.2,3.3,0.56,3.3,5.6,11,https://cdn.pixabay.com/photo/2018/03/29/17/19/food-3272853_1280.jpg,,,,,,,,,,
鲤鱼/鳊鱼,8.03,bream,143,23.1,5.6,1,71.25,11.8,https://pixabay.com/zh/photos/bream-fish-fish-market-fresh-fish-6757624/,,,,,,,,,,
鳕鱼,2.81,cod,105,23,0.9,0,78,87,https://cdn.pixabay.com/photo/2018/11/19/05/37/food-3824648_1280.jpg,,,,,,,,,,
小龙虾,2.54,crayfish,75,16.35,0.95,0,51.75,20,https://cdn.pixabay.com/photo/2017/05/09/16/34/crayfish-2298734_1280.jpg,,,,,,,,,,
贻贝,0.19,mussel,171.8,23.5,4.47,7.4,369,42,https://cdn.pixabay.com/photo/2015/03/17/18/48/mussels-in-bath-678142_1280.jpg,,,,,,,,,,
牡蛎,0.84,oyster,164,18.8,4.8,10,212,16,https://cdn.pixabay.com/photo/2016/07/16/22/19/oyster-1522835_1280.jpg,,,,,,,,,,
对虾,10.04,prawn,120,22,1.8,1.6,950,59,https://cdn.pixabay.com/photo/2017/08/21/07/03/food-2664307_1280.jpg,,,,,,,,,,
鲑鱼,2.71,salmon,208,20,12.9,0,58.9,95,https://cdn.pixabay.com/photo/2018/02/08/12/41/salmon-3139390_1280.jpg,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
